Date, Open, High, Low, Close/Last, Volume
04/22/2020,171.39,174,170.82,173.52,34651600
04/21/2020,173.5,173.6699,166.1102,167.82,56203750
04/20/2020,176.63,178.75,174.99,175.06,36669560
04/17/2020,179.5,180,175.87,178.6,52765630
04/16/2020,174.3,177.28,172.9,177.04,50479610
04/15/2020,171.2,173.57,169.24,171.88,40940830
04/14/2020,169,173.75,168,173.7,52874340
04/13/2020,164.35,165.57,162.3,165.51,41905260
04/09/2020,166.36,167.37,163.33,165.14,51431780
04/08/2020,165.67,166.67,163.5,165.13,48318230
04/07/2020,169.585,170,163.26,163.49,62769040
04/06/2020,160.32,166.5,157.58,165.27,67111700
04/03/2020,155.1,157.38,152.19,153.83,41243280
04/02/2020,151.86,155.48,150.36,155.26,49630740
04/01/2020,153,157.75,150.82,152.11,57969930
03/31/2020,159.4,164.78,156.56,157.71,77927190
03/30/2020,152.44,160.6,150.01,160.23,63420330
03/27/2020,151.75,154.89,149.2,149.7,57042290
03/26/2020,148.4,156.66,148.37,156.11,64694430
03/25/2020,148.91,154.33,144.44,146.92,75638220
03/24/2020,143.75,149.6,141.27,148.34,82516730
03/23/2020,137.01,140.57,132.52,135.98,78975180
03/20/2020,146,147.1,135.86,137.35,84866220
03/19/2020,142.77,150.15,139,142.71,85922660
03/18/2020,138,146,135.02,140.4,81593170
03/17/2020,140,147.4998,135,146.57,81059820
03/16/2020,140,149.35,135,135.42,87905870
03/13/2020,147.5,161.91,140.73,158.83,92727450
03/12/2020,145.3,153.47,138.58,139.06,93226370
03/11/2020,157.13,157.7,151.15,153.63,56504300
03/10/2020,158.16,161.03,152.58,160.92,65354390
03/09/2020,151,157.75,150,150.62,70419270
03/06/2020,162.61,163.11,156,161.57,72821060
03/05/2020,166.045,170.87,165.69,166.27,47817250
03/04/2020,168.485,170.7,165.62,170.55,49814380
03/03/2020,173.8,175,162.26,164.51,71677020
03/02/2020,165.31,172.92,162.31,172.79,71030810
02/28/2020,152.41,163.71,152,162.01,97073560
02/27/2020,163.32,167.03,157.98,158.18,93174910
02/26/2020,169.71,173.26,168.21,170.17,56387150
02/25/2020,174.2,174.84,167.6462,168.07,68073300
02/24/2020,167.77,174.55,163.23,170.89,68311070
02/21/2020,183.17,183.5,177.25,178.59,48600390
02/20/2020,186.95,187.25,181.1,184.42,36862380
02/19/2020,188.06,188.18,186.47,187.28,29997470
02/18/2020,185.605,187.7,185.5,187.23,27853110
02/14/2020,183.25,185.41,182.65,185.35,23149520
02/13/2020,183.08,186.23,182.872,183.71,35295830
02/12/2020,185.58,185.85,181.85,184.71,47062920
02/11/2020,190.65,190.7,183.5,184.44,53159910
02/10/2020,183.58,188.84,183.25,188.7,35844270
02/07/2020,182.845,185.63,182.48,183.89,33529070
02/06/2020,180.97,183.8199,180.059,183.63,27751380
02/05/2020,184.03,184.2,178.4101,179.9,39186320
02/04/2020,177.14,180.64,176.31,180.12,36433340
02/03/2020,170.43,174.5,170.4,174.38,30149050
01/31/2020,172.21,172.4,169.58,170.23,36142690
01/30/2020,174.05,174.05,170.79,172.78,51597470
01/29/2020,167.84,168.75,165.69,168.04,35127770
01/28/2020,163.78,165.755,163.073,165.46,24899940
01/27/2020,161.15,163.375,160.2,162.28,32078070
01/24/2020,167.51,167.53,164.45,165.04,24918120
01/23/2020,166.19,166.8,165.27,166.72,19680770
01/22/2020,167.4,167.49,165.68,165.7,24138780
01/21/2020,166.68,168.19,166.43,166.5,29517190
01/17/2020,167.42,167.4675,165.43,167.1,34371660
01/16/2020,164.35,166.24,164.03,166.17,23865360
01/15/2020,162.62,163.94,162.57,163.18,21417870
01/14/2020,163.39,163.6,161.72,162.13,23500780
01/13/2020,161.76,163.31,161.26,163.28,21637010
01/10/2020,162.824,163.22,161.18,161.34,20733950
01/09/2020,161.835,162.215,161.03,162.09,21399950
01/08/2020,158.93,160.8,157.9491,160.09,27762030
01/07/2020,159.32,159.67,157.32,157.58,21881740
01/06/2020,157.08,159.1,156.51,159.03,20826700
01/03/2020,158.32,159.945,158.06,158.62,21121680
01/02/2020,158.78,160.73,158.33,160.62,22634550
12/31/2019,156.77,157.77,156.45,157.7,18393380
12/30/2019,158.987,159.02,156.73,157.59,16356720
